part_id	name
4607	BBa_I6208
4608	BBa_I6209
4609	BBa_I6210
4610	BBa_I6211
4611	BBa_I6212
4612	BBa_I6213
4613	BBa_I6214
4614	BBa_I6215
4615	BBa_I6300
4616	BBa_I6301
4617	BBa_I6304
4618	BBa_I6307
4619	BBa_I6310
4620	BBa_I6313
4621	BBa_I6316
4622	BBa_I6319
4623	BBa_I6322
4624	BBa_E0610
4625	BBa_E0611
4626	BBa_E0612
4627	BBa_E0613
4628	BBa_E0614
4629	BBa_E0615
4631	BBa_I15000
4632	BBa_I15001
4633	BBa_I15002
4634	BBa_S03131
4643	BBa_I6057
4644	BBa_E0433
4645	BBa_G00120
4646	BBa_G00100
4647	BBa_G00101
4648	BBa_G00121
4649	BBa_G00400
4650	BBa_G00401
4651	BBa_P0481
4652	BBa_P0470
4653	BBa_P0480
4654	BBa_P0478
4655	BBa_P0413
4656	BBa_P0479
4657	BBa_I2015
4658	BBa_P0471
4659	pSB1A2
43516	BBa_K2273031
4660	BBa_I15003
4661	BBa_I15004
4662	BBa_I15005
4663	BBa_S03140
4665	BBa_S03142
4666	BBa_S03143
4668	BBa_S03145
4670	BBa_C0041
4671	BBa_C0161
4672	BBa_C0160
4673	BBa_C0171
4674	BBa_C0170
4675	BBa_C0179
4676	BBa_C0178
4677	BBa_C0177
4678	BBa_C0176
4679	BBa_V1001
4680	BBa_V1002
4681	BBa_V1003
4682	BBa_G00500
4683	BBa_G00501
4684	BBa_G00510
4685	BBa_G00511
4686	BBa_G00520
4687	BBa_G00521
4688	BBa_G00530
4689	BBa_G00531
4690	BBa_G00600
4691	BBa_G00601
4692	BBa_G00200
4693	BBa_S03150
4694	BBa_E0034
4695	BBa_E0036
4696	BBa_E0024
4697	BBa_E0026
4699	BBa_B0036
4700	BBa_I6116
4701	BBa_I0401
4702	BBa_I0402
4703	BBa_I0403
4704	BBa_I0404
4705	BBa_I0405
4706	BBa_I0406
4707	BBa_I0407
4708	BBa_I0408
4709	BBa_I0409
4714	BBa_I0411
4715	BBa_I0412
4716	BBa_I0413
4717	BBa_I0414
4718	BBa_I0420
4719	BBa_I0415
4720	BBa_I0416
4721	BBa_I0417
4722	BBa_I0418
4723	BBa_I0419
4724	BBa_I0421
4729	BBa_I13000
4730	BBa_I13001
4731	BBa_I13002
4732	BBa_I13003
4733	BBa_I13004
4734	BBa_I13005
4735	BBa_I13006
4737	BBa_S03181
4736	BBa_S03180
4738	BBa_S03182
4739	pSB3K3
4990	BBa_I14035
4740	pSB4A3
4988	BBa_I14033
4989	BBa_I14034
4741	BBa_S03183
4753	BBa_P0474
4743	BBa_I13007
4744	BBa_E0130
4745	BBa_I13008
4746	BBa_I13009
4747	BBa_I13010
4748	BBa_I13011
4749	BBa_I13012
4750	BBa_I13013
4752	BBa_I13014
4754	BBa_Q04740
4756	BBa_E0010
4757	BBa_S03184
4758	BBa_S03185
4759	BBa_I13015
4760	BBa_S03186
4761	BBa_S03187
4762	BBa_S03151
4763	BBa_I13900
4765	BBa_I12000
4766	BBa_I12001
4795	BBa_I12003
4797	BBa_I12006
4767	BBa_I0464
4768	BBa_F1780
4769	BBa_F1700
4770	BBa_I0466
4771	BBa_F1760
4772	BBa_I0468
4773	BBa_I13016
4774	BBa_I13017
4775	BBa_I13018
4776	BBa_I12002
5083	BBa_I12035
5025	BBa_I14059
4796	BBa_I12005
4777	BBa_I0424
4778	BBa_I0426
4779	BBa_I0428
4780	BBa_I0429
4781	BBa_E0224
4782	BBa_E0226
4783	BBa_E0234
4784	BBa_E0236
4786	BBa_I13019
4787	BBa_V1004
4788	BBa_V1005
4789	BBa_I13020
4790	BBa_I13021
4791	BBa_I13022
4792	BBa_I13023
4794	BBa_I13024
4799	BBa_I12007
4822	BBa_I12008
4800	BBa_I13025
4801	BBa_I13026
4802	BBa_I13027
4803	BBa_I13028
4804	BBa_I13029
4805	BBa_I13030
4806	BBa_I13031
4807	BBa_I13032
4808	BBa_I13033
4809	BBa_E0424
4810	BBa_E0426
4811	BBa_E0434
4812	BBa_E0436
4813	BBa_I13600
4814	BBa_I13601
4815	BBa_I13602
4816	BBa_I13603
4817	BBa_I13604
4818	BBa_I13605
4819	BBa_I13606
4820	BBa_I13607
4821	BBa_S03152
4823	BBa_I12010
4824	BBa_I13800
4825	BBa_I13801
4826	BBa_I12011
4827	BBa_I12012
4828	BBa_I12013
4829	BBa_S04000
4831	BBa_S04002
4832	BBa_S04003
4833	BBa_I13611
4834	BBa_I13613
4835	BBa_I13614
4836	BBa_I13617
4837	BBa_I13621
4838	BBa_I13623
4839	BBa_I13624
4840	BBa_I13626
4841	BBa_I13627
4862	BBa_I13625
4842	BBa_I13631
4843	BBa_I13633
4844	BBa_I13634
4845	BBa_I13637
4846	BBa_I13645
4847	BBa_I13647
4848	BBa_I13651
4849	BBa_I13653
4850	BBa_I13654
4851	BBa_I13657
4852	BBa_I13665
4867	BBa_I13664
4853	BBa_I13667
4860	BBa_Q02121
4855	BBa_I13035
4856	BBa_I13036
4857	BBa_I13037
4858	BBa_I13038
4861	BBa_Q02400
4863	BBa_I13062
4864	BBa_I13072
4865	BBa_S03153
4866	BBa_I13644
4868	BBa_Q00400
4869	BBa_Q00121
4870	BBa_I13100
4871	BBa_I13101
4872	BBa_I13102
4873	BBa_I13103
4874	BBa_I13104
4875	BBa_I13105
4876	BBa_I13106
4877	BBa_I13107
4878	BBa_I13108
4879	BBa_I13109
4880	BBa_I13110
4881	BBa_I13111
4882	BBa_I13112
4883	BBa_I13113
4884	BBa_I13114
4885	BBa_I13115
4887	BBa_I12014
4888	BBa_I12018
4889	BBa_I12015
4890	BBa_I12019
4891	BBa_I12020
4892	BBa_I12016
4893	BBa_I12017
4894	BBa_I13850
4895	BBa_I13851
4896	BBa_I14009
4897	BBa_I14001
4899	BBa_S03154
4900	BBa_S03156
5620	BBa_J06202
5716	BBa_J06503
5622	BBa_J06204
4902	BBa_S03158
4904	BBa_S03160
4905	BBa_S03161
4906	BBa_S03162
4907	BBa_S03163
4908	BBa_S03164
4910	BBa_I14002
4911	BBa_I14003
4912	BBa_I14004
4913	BBa_I14005
4914	BBa_I14006
4915	BBa_I12022
4916	BBa_I12023
4928	BBa_S03165
4927	BBa_I14008
4929	BBa_I14010
4930	BBa_I14011
4931	BBa_E1000
4932	BBa_E1010
4933	BBa_E1020
4934	BBa_E1030
4935	BBa_I12024
4936	BBa_I12025
4937	BBa_I12026
4938	BBa_I12027
4939	BBa_I12028
4940	BBa_I12029
4941	BBa_P1010
4942	pSB1AK3
4943	BBa_P0476
4944	BBa_P0477
4945	BBa_I13200
4946	BBa_I13201
4947	BBa_I13210
4948	BBa_I13202
5348	BBa_I13978
4949	BBa_I13205
4950	BBa_I13203
4951	BBa_I14012
4952	BBa_I14013
4953	BBa_I14014
4954	BBa_I14015
4955	BBa_I14016
4968	BBa_I14017
4956	BBa_I13206
5347	BBa_I13272
4957	BBa_I534060
4959	BBa_I13207
4960	BBa_C0020
4961	BBa_C0024
4962	BBa_C0028
4963	BBa_S11451
4964	BBa_S50452
4965	BBa_I13910
4966	BBa_I13911
4967	BBa_I13999
4969	BBa_I14018
4971	BBa_I14020
4972	BBa_I14021
4973	BBa_I14022
4974	BBa_I14023
4975	BBa_I14024
4976	BBa_I14025
4977	BBa_I14026
4978	BBa_I14027
4979	BBa_I14028
4980	BBa_I14029
4981	BBa_I14030
4982	BBa_I14031
4983	BBa_I13208
4986	BBa_I12032
4992	BBa_I14037
4993	BBa_I14040
4994	BBa_I14041
4996	BBa_I14042
4997	BBa_I14043
4998	BBa_I14038
4999	BBa_S03167
5000	BBa_I14050
5001	BBa_I14044
5002	BBa_S03168
5003	BBa_I14051
5004	BBa_S03169
5005	BBa_I14052
5006	BBa_I14053
5086	BBa_I12219
5167	BBa_I4214
5108	BBa_I13279
5178	BBa_S03173
5149	BBa_I11000
5009	BBa_I14045
5174	BBa_S03259
5034	BBa_I13212
5133	BBa_I13265
5109	BBa_I13277
5132	BBa_I13264
5127	BBa_I13314
5107	BBa_I13271
5152	BBa_P34160
5104	BBa_I13262
5007	BBa_I14054
5008	BBa_I14055
5010	BBa_I14046
5011	BBa_I14047
5012	BBa_I14056
5013	BBa_I13209
5015	BBa_I14048
5016	BBa_I13901
5017	BBa_I13902
5018	BBa_I13912
5019	BBa_I13913
5020	BBa_I13914
5021	BBa_I13915
5022	BBa_I13930
5023	BBa_S03170
5024	BBa_I14057
5026	BBa_I14060
5027	BBa_I14061
5106	BBa_I13280
5137	BBa_I1466
5183	BBa_S03263
5033	BBa_I13211
5029	BBa_I12033
5030	BBa_I14070
5031	BBa_I14071
5032	BBa_I14072
5035	BBa_I13213
5084	BBa_I12200
5082	BBa_I12034
5085	BBa_I12201
5087	BBa_I12212
5088	BBa_I12202
5089	BBa_I12203
5090	BBa_I12220
5091	BBa_I12221
5092	BBa_I12222
5093	BBa_I12223
5094	BBa_I12210
5095	BBa_I12230
5096	BBa_I12224
5097	BBa_I12232
5098	BBa_I12205
5099	BBa_I12225
5100	BBa_S3911
5101	BBa_S3910
5102	BBa_F1611
5103	BBa_S3511
5105	BBa_I13283
5110	BBa_I13970
5111	BBa_I13971
5112	BBa_I13972
5113	BBa_I13303
5114	BBa_F2620
5115	BBa_I13304
5116	BBa_I13305
5117	BBa_I13306
5118	BBa_F2621
5119	BBa_I13307
5120	BBa_I13308
5121	BBa_I13273
5122	BBa_I13309
5123	BBa_I13263
5124	BBa_I13311
5125	BBa_I13312
5126	BBa_I13313
5128	BBa_I13310
5129	BBa_I12226
5130	BBa_I12227
5134	BBa_I13266
5135	BBa_I13267
5136	BBa_S03246
5138	BBa_I1468
5139	BBa_S03247
5140	BBa_S03248
5141	BBa_S03249
5142	BBa_S03250
5143	BBa_S03251
5144	BBa_S03252
5145	BBa_S03171
5146	BBa_S03172
5147	BBa_I13990
5148	BBa_A340620
5161	BBa_E0666
5150	BBa_I11001
5151	BBa_I11002
5153	BBa_P34060
5154	BBa_I534160
5156	BBa_I13710
5157	BBa_I13711
5158	BBa_I13712
5159	BBa_I13721
5160	BBa_I13730
5162	BBa_E041010
5163	BBa_E0669
5164	BBa_P0420
5165	BBa_P0424
5166	BBa_P0428
5168	BBa_S03253
5169	BBa_S03254
5170	BBa_S03255
5171	BBa_S03256
5172	BBa_S03257
5173	BBa_S03258
5175	BBa_S03260
5176	BBa_S03261
5177	BBa_S03262
5181	BBa_I4212
5182	BBa_I4213
5184	BBa_S03264
5185	BBa_S03265
5186	BBa_S03266
5187	BBa_S03267
5188	BBa_S03268
5189	BBa_S03269
